M, u(M), chi(M), m(M)
793, -0.6, 0.04, -0.04
794, -0.6, 1.44, -0.24
795, -0.44, 1, -0.2
796, -0.52, 1, 0.2
797, -0.6, 0.04, -0.04
798, -0.44, 0.64, -0.16
799, -0.52, 0, 0
800, -0.6, 0, 0
801, -0.28, 0.36, -0.12
802, -0.2, 0.36, 0.12
803, -0.12, 0.36, 0.12
804, -0.52, 1, -0.2
805, -0.52, 0.04, 0.04
806, -0.44, 0.16, 0.08
807, -0.44, 0.04, -0.04
808, -0.6, 0.04, 0.04
809, -0.68, 1, 0.2
810, -0.36, 0, 0
811, -0.52, 0.16, -0.08
812, -0.44, 0.16, 0.08
813, -0.2, 0.04, 0.04
814, -0.6, 1, 0.2
815, -0.44, 1.44, 0.24
816, -0.52, 0.04, -0.04
817, -0.36, 0.36, 0.12
818, -0.28, 0.64, 0.16
819, -0.28, 1.44, 0.24
820, -0.52, 4, 0.4
821, -0.52, 2.56, 0.32
822, -0.6, 1.44, 0.24
823, -0.52, 0.04, 0.04
824, -0.6, 0.64, 0.16
825, -0.36, 0.16, 0.08
826, -0.52, 0.16, -0.08
827, -0.68, 6.76, -0.52
828, -0.52, 3.24, -0.36
829, -0.76, 6.76, -0.52
830, -0.6, 9, -0.6
831, -0.52, 10.24, -0.64
832, -0.6, 1.44, -0.24
833, -0.44, 1.96, -0.28
834, -0.52, 0.16, -0.08
835, -0.44, 1.44, -0.24
836, -0.44, 0.16, -0.08
837, -0.44, 3.24, -0.36
838, -0.6, 1.44, -0.24
839, -0.52, 0.04, 0.04
840, -0.36, 0.36, 0.12
841, -0.44, 4, 0.4
842, -0.52, 4.84, 0.44
843, -0.52, 0.36, 0.12
844, -0.52, 0.04, -0.04
845, -0.52, 0.16, 0.08
846, -0.36, 1.44, 0.24
