M, u(M), chi(M), m(M)
733, -0.6, 1.96, 0.28
734, -0.52, 3.24, 0.36
735, -0.52, 2.56, 0.32
736, -0.44, 0.64, 0.16
737, -0.2, 1, 0.2
738, -0.52, 6.76, 0.52
739, -0.44, 6.76, 0.52
740, -0.52, 7.84, 0.56
741, -0.2, 1.96, 0.28
742, -0.36, 0.36, 0.12
743, -0.52, 0, 0
744, -0.52, 0.36, 0.12
745, -0.44, 1, -0.2
746, -0.52, 0.16, -0.08
747, -0.52, 0.36, -0.12
748, -0.44, 0.16, 0.08
749, -0.44, 0.16, 0.08
750, -0.52, 0.64, 0.16
751, -0.52, 1, 0.2
752, -0.68, 0.64, 0.16
753, -0.28, 0.36, -0.12
754, -0.6, 1, -0.2
755, -0.6, 0.04, -0.04
756, -0.36, 0.64, -0.16
757, -0.52, 1, -0.2
758, -0.36, 0.16, -0.08
759, -0.44, 1, -0.2
760, -0.36, 1, -0.2
761, -0.52, 1.96, -0.28
762, -0.44, 0.16, 0.08
763, -0.28, 0.16, -0.08
764, -0.44, 1, -0.2
765, -0.6, 3.24, -0.36
766, -0.52, 1, -0.2
767, -0.36, 4.84, -0.44
768, -0.52, 6.76, -0.52
769, -0.68, 9, -0.6
770, -0.6, 10.24, -0.64
771, -0.6, 4, -0.4
772, -0.6, 1.44, -0.24
773, -0.44, 0.64, -0.16
774, -0.44, 1, -0.2
775, -0.36, 0.04, -0.04
776, -0.44, 1, -0.2
777, -0.36, 0.36, -0.12
778, -0.6, 1, -0.2
779, -0.6, 0, 0
780, -0.52, 1, -0.2
781, -0.44, 1, -0.2
782, -0.52, 0.04, -0.04
783, -0.36, 0.64, -0.16
784, -0.52, 1.44, -0.24
785, -0.2, 1.96, -0.28
786, -0.52, 0.16, -0.08
787, -0.36, 0.64, -0.16
788, -0.44, 0.16, -0.08
789, -0.44, 2.56, -0.32
790, -0.36, 4, -0.4
791, -0.44, 5.76, -0.48
792, -0.52, 6.76, -0.52
793, -0.44, 4.84, -0.44
794, -0.36, 3.24, -0.36
795, -0.52, 5.76, -0.48
796, -0.76, 9, -0.6
797, -0.68, 12.96, -0.72
798, -0.6, 11.56, -0.68
799, -0.44, 6.76, -0.52
800, -0.44, 9, -0.6
801, -0.44, 9, -0.6
802, -0.36, 4.84, -0.44
803, -0.36, 2.56, -0.32
804, -0.36, 0.16, -0.08
805, -0.52, 0.16, 0.08
806, -0.36, 0.04, 0.04
807, -0.12, 0.04, -0.04
808, -0.36, 0.64, -0.16
809, -0.44, 1, 0.2
810, -0.36, 0.04, -0.04
811, -0.2, 0.36, 0.12
812, -0.2, 0.16, -0.08
813, -0.44, 1, -0.2
814, -0.44, 1, -0.2
815, -0.6, 1.96, -0.28
816, -0.52, 0.36, -0.12
817, -0.52, 0, 0
818, -0.36, 0.36, 0.12
819, -0.36, 0.04, 0.04
820, -0.44, 1, -0.2
821, -0.76, 2.56, -0.32
822, -0.44, 0.64, -0.16
823, -0.28, 1, -0.2
824, -0.6, 4, -0.4
825, -0.6, 5.76, -0.48
826, -0.36, 4, -0.4
827, -0.6, 1, -0.2
828, -0.44, 1, -0.2
829, -0.52, 1.96, -0.28
830, -0.6, 0.36, 0.12
831, -0.44, 1, 0.2
832, -0.36, 0.04, -0.04
833, -0.52, 0.04, 0.04
834, -0.36, 0, 0
835, -0.52, 0.64, 0.16
836, -0.6, 0.16, -0.08
837, -0.2, 0.16, 0.08
838, -0.44, 2.56, 0.32
839, -0.36, 2.56, 0.32
840, -0.28, 1.96, 0.28
841, -0.52, 2.56, 0.32
842, -0.36, 0.64, 0.16
843, -0.52, 1.44, 0.24
844, -0.6, 0.16, -0.08
845, -0.6, 0.04, 0.04
846, -0.44, 0.16, 0.08
847, -0.52, 0.36, 0.12
